step,train_loss,val_loss,val_ppl,val_bpb,gap_loss,grad_norm,param_norm
50,6.3187,6.1198,454.7878,8.8290,-0.1989,2.1014,229.9615
100,6.2990,5.3885,218.8693,7.7739,-0.9105,1.9632,204.6513
150,4.8777,5.1010,164.1928,7.3592,0.2234,1.6883,185.6117
200,6.3795,4.9548,141.8570,7.1483,-1.4247,2.4378,171.3092
250,6.0232,4.8703,130.3539,7.0263,-1.1529,2.1628,160.6139
300,4.6567,4.8053,122.1557,6.9326,0.1486,2.5303,152.6455
350,4.9165,4.7706,117.9937,6.8826,-0.1459,2.3864,146.7139
400,4.6197,4.7261,112.8545,6.8183,0.1064,2.3515,142.2802
450,4.6539,4.6985,109.7841,6.7785,0.0447,1.9484,138.9330
500,3.5638,4.7097,111.0148,6.7946,1.1459,2.8197,136.3692
550,4.3330,4.6873,108.5544,6.7623,0.3543,2.5472,134.3659
600,5.0019,4.6806,107.8399,6.7527,-0.3212,2.1828,132.7578
650,5.0354,4.6697,106.6675,6.7370,-0.3657,2.2548,131.4342
700,4.1073,4.6644,106.0992,6.7293,0.5570,2.5821,130.3058
750,5.2553,4.6924,109.1129,6.7697,-0.5629,2.5772,129.3114
800,4.7530,4.6642,106.0858,6.7291,-0.0887,2.6733,128.4176
850,4.7488,4.6604,105.6732,6.7235,-0.0884,2.9008,127.5940
900,3.5831,4.6502,104.6060,6.7088,1.0671,2.1204,126.8163
950,4.0623,4.6564,105.2570,6.7178,0.5941,2.8062,126.0720
1000,4.6926,4.6518,104.7707,6.7111,-0.0408,2.0730,125.3534
1050,3.6875,4.6658,106.2461,6.7313,0.9783,2.2112,124.6528
1100,4.7360,4.6841,108.2139,6.7577,-0.0519,3.6057,123.9598
1150,4.7365,4.6549,105.1009,6.7156,-0.0816,2.2670,123.2804
1200,5.2276,4.6690,106.5884,6.7359,-0.5586,3.8039,122.6064
1250,4.9214,4.6686,106.5515,6.7354,-0.2528,2.3997,121.9368
1300,4.6159,4.6697,106.6678,6.7370,0.0538,2.7704,121.2717
1350,4.8296,4.6957,109.4744,6.7744,-0.1339,3.0867,120.6088
1400,5.2775,4.6932,109.1980,6.7708,-0.5844,2.8740,119.9514
1450,4.5109,4.6899,108.8369,6.7660,0.1789,2.9110,119.2959
1500,4.3287,4.6975,109.6768,6.7771,0.3688,2.6769,118.6397
1550,3.8116,4.7042,110.4133,6.7868,0.8926,2.7326,117.9842
1600,5.9288,4.7167,111.8018,6.8048,-1.2121,4.1061,117.3326
1650,4.5433,4.7193,112.0953,6.8086,0.1761,2.9811,116.6810
1700,5.2006,4.7376,114.1614,6.8349,-0.4630,4.5681,116.0314
1750,3.8599,4.7454,115.0561,6.8462,0.8855,2.5288,115.3849
1800,5.1428,4.7548,116.1366,6.8597,-0.3880,4.4682,114.7388
1850,4.8930,4.7607,116.8304,6.8683,-0.1322,3.3209,114.0918
1900,4.7139,4.7702,117.9394,6.8819,0.0563,3.2458,113.4477
1950,3.8874,4.7736,118.3495,6.8869,0.8862,2.8905,112.8028
2000,5.2296,4.7686,117.7507,6.8796,-0.4610,2.9699,112.1631
2050,4.3372,4.7746,118.4633,6.8883,0.4374,4.6810,111.5239
2100,5.0715,4.7849,119.6881,6.9031,-0.2866,4.1522,110.8832
2150,3.9751,4.8014,121.6794,6.9269,0.8263,3.6883,110.2420
2200,3.8233,4.8113,122.8865,6.9412,0.9879,3.8090,109.6022
2250,5.3505,4.8189,123.8272,6.9522,-0.5316,3.3812,108.9670
2300,4.7017,4.8315,125.4008,6.9704,0.1298,3.3696,108.3285
2350,4.0276,4.8377,126.1755,6.9793,0.8101,3.1839,107.6936
2400,5.7878,4.8473,127.3915,6.9931,-0.9406,5.3374,107.0592
2450,5.3073,4.8406,126.5411,6.9835,-0.4667,3.8033,106.4268
2500,5.6345,4.8627,129.3735,7.0154,-0.7717,4.2911,105.7918
2550,5.1652,4.8798,131.5983,7.0400,-0.2854,4.5857,105.1614
2600,5.9875,4.8797,131.5975,7.0400,-1.1077,4.4246,104.5297
2650,5.6462,4.8841,132.1660,7.0462,-0.7621,4.6181,103.9009
2700,5.3616,4.8887,132.7781,7.0529,-0.4729,4.8402,103.2723
2750,4.1028,4.9006,134.3643,7.0700,0.7977,3.9979,102.6451
2800,4.2574,4.9031,134.7052,7.0737,0.6457,3.9491,102.0173
2850,5.4092,4.9135,136.1133,7.0887,-0.4957,4.6531,101.3921
2900,3.6465,4.9411,139.9262,7.1285,1.2946,2.9762,100.7625
2950,4.7001,4.9327,138.7594,7.1164,0.2327,3.0165,100.1387
3000,5.0177,4.9333,138.8327,7.1172,-0.0845,5.1215,99.5158
