step,train_loss,val_loss,val_ppl,val_bpb,gap_loss,grad_norm,param_norm
50,10.7878,10.8397,51006.8812,15.6384,0.0519,14.7198,263.0985
100,10.8436,10.6938,44081.1541,15.4279,-0.1498,8.3513,263.0591
150,10.4385,10.5418,37864.6711,15.2086,0.1033,18.1281,263.0196
200,10.8738,10.3958,32721.5967,14.9980,-0.4780,6.1686,262.9802
250,10.8341,10.2480,28225.2867,14.7847,-0.5862,6.1208,262.9408
300,10.1602,10.1031,24417.6024,14.5756,-0.0571,13.6238,262.9014
350,10.0960,9.9610,21183.2348,14.3706,-0.1351,11.3256,262.8620
400,10.0587,9.8285,18555.9506,14.1796,-0.2302,10.6910,262.8226
450,9.6479,9.6927,16199.1504,13.9836,0.0448,13.5554,262.7832
500,8.6400,9.5648,14254.4213,13.7991,0.9248,19.6964,262.7438
550,9.1569,9.4427,12615.9672,13.6230,0.2858,13.7512,262.7044
600,9.5797,9.3212,11172.3314,13.4476,-0.2585,9.9233,262.6650
650,9.9257,9.2022,9918.7416,13.2759,-0.7236,7.5313,262.6257
700,8.6243,9.0903,8868.4056,13.1145,0.4660,14.6628,262.5863
750,9.7276,8.9829,7966.0689,12.9597,-0.7446,7.8411,262.5469
800,9.1624,8.8819,7200.6050,12.8139,-0.2804,9.0977,262.5076
850,9.1409,8.7872,6550.1301,12.6773,-0.3536,8.1963,262.4683
900,6.9376,8.6979,5990.3037,12.5484,1.7603,14.8969,262.4289
950,7.8236,8.6188,5534.6470,12.4343,0.7952,9.6018,262.3896
1000,8.4560,8.5498,5165.6392,12.3347,0.0938,7.5842,262.3503
1050,7.0261,8.4830,4832.0865,12.2384,1.4570,9.0297,262.3109
1100,8.3272,8.4237,4553.6747,12.1528,0.0965,6.1557,262.2716
1150,8.4318,8.3673,4303.9304,12.0714,-0.0645,5.3644,262.2323
1200,9.3308,8.3150,4084.5868,11.9960,-1.0159,5.3125,262.1930
1250,8.8658,8.2644,3883.2777,11.9231,-0.6014,4.9271,262.1537
1300,8.0597,8.2162,3700.2657,11.8534,0.1565,5.0387,262.1144
1350,8.2804,8.1698,3532.5462,11.7865,-0.1106,4.8257,262.0752
1400,9.0168,8.1243,3375.4374,11.7209,-0.8925,4.7555,262.0359
1450,7.9505,8.0802,3229.7383,11.6572,0.1297,4.2410,261.9966
1500,7.5117,8.0375,3094.8541,11.5957,0.5258,4.1585,261.9573
1550,6.5397,7.9958,2968.3165,11.5354,1.4561,4.2713,261.9181
1600,9.5935,7.9556,2851.6101,11.4776,-1.6378,4.8076,261.8788
1650,7.4257,7.9169,2743.3906,11.4217,0.4913,3.9480,261.8396
1700,8.7700,7.8793,2642.0118,11.3674,-0.8907,4.1316,261.8003
1750,6.7443,7.8424,2546.3145,11.3142,1.0981,3.8116,261.7611
1800,8.5538,7.8072,2458.1411,11.2634,-0.7466,4.3014,261.7219
1850,8.0987,7.7724,2374.2696,11.2133,-0.3262,3.7163,261.6827
1900,7.5243,7.7390,2296.1984,11.1650,0.2147,3.5878,261.6434
1950,6.2441,7.7071,2224.1154,11.1190,1.4630,3.1117,261.6042
2000,7.9665,7.6765,2156.9590,11.0748,-0.2900,3.0197,261.5650
2050,6.9084,7.6467,2093.7954,11.0319,0.7383,3.2344,261.5258
2100,8.2490,7.6179,2034.2428,10.9903,-0.6311,3.2572,261.4866
2150,6.3282,7.5893,1977.0114,10.9491,1.2612,2.6362,261.4474
2200,6.3155,7.5618,1923.3942,10.9094,1.2464,2.9656,261.4082
2250,8.0188,7.5352,1872.7541,10.8709,-0.4836,3.1246,261.3691
2300,7.6229,7.5087,1823.8766,10.8328,-0.1142,2.9205,261.3299
2350,6.1278,7.4831,1777.7631,10.7958,1.3553,2.3785,261.2907
2400,8.7638,7.4579,1733.5424,10.7595,-1.3059,3.1420,261.2515
2450,8.0543,7.4338,1692.2360,10.7247,-0.6205,2.7060,261.2124
2500,8.5765,7.4100,1652.4554,10.6904,-1.1665,3.0615,261.1732
2550,7.4933,7.3869,1614.6338,10.6570,-0.1065,2.7502,261.1341
2600,8.7819,7.3646,1579.0795,10.6249,-1.4173,3.1466,261.0949
2650,8.4038,7.3431,1545.4775,10.5938,-1.0607,3.0189,261.0558
2700,7.9295,7.3224,1513.8616,10.5640,-0.6071,2.5114,261.0167
2750,6.1576,7.3022,1483.5450,10.5348,1.1446,2.2319,260.9775
2800,6.1195,7.2826,1454.7903,10.5066,1.1631,2.2239,260.9384
2850,8.1515,7.2634,1427.1627,10.4789,-0.8881,2.7144,260.8993
2900,5.2874,7.2451,1401.1972,10.4524,1.9577,2.0933,260.8602
2950,6.7151,7.2274,1376.5953,10.4269,0.5123,2.3236,260.8211
3000,7.3532,7.2101,1352.9952,10.4019,-0.1432,2.1230,260.7820
